temperature,vibration,pressure,current,rpm,humidity,voltage,acoustic_emission,remaining_useful_life,fault_severity
66.97,2.53,4.54,12.63,1485.0,50.2,399.3,53.6,325.6,0
83.98,4.997,3.887,14.61,1446.2,71.9,400.1,64.5,194.4,1
64.88,2.258,4.382,11.14,1473.2,57.7,398.4,48.4,344.6,0
63.93,2.334,4.452,11.53,1466.9,49.1,399.5,46.6,423.7,0
61.88,2.237,4.635,11.7,1458.5,60.3,395.3,52.4,461.3,0
62.41,2.05,4.219,13.43,1453.2,38.8,401.1,45.6,389.0,0
68.64,2.998,4.472,,1452.2,53.4,397.1,47.6,353.7,0
67.56,2.441,4.292,11.2,1476.1,35.6,400.1,45.4,381.7,0
69.25,2.14,4.425,11.54,1509.6,68.4,399.7,53.3,332.7,0
83.86,6.2,4.161,,1450.4,68.3,397.9,59.8,145.4,1
67.05,2.699,4.458,12.87,1473.1,52.5,398.5,55.0,421.7,0
62.56,1.734,,12.26,1467.6,40.6,400.8,49.2,357.3,0
75.73,2.302,4.716,9.29,1456.0,68.7,396.5,42.7,383.5,0
61.24,2.566,4.415,7.74,1473.5,78.7,403.0,50.9,353.1,0
59.15,3.348,4.344,8.95,1492.3,82.8,398.2,42.0,413.0,0
70.7,2.943,5.164,10.8,1466.6,58.0,398.3,48.5,405.4,0
92.71,8.873,3.247,22.15,1356.2,73.2,391.2,77.3,41.8,2
57.61,1.079,4.637,12.89,1443.9,35.2,397.6,45.7,384.2,0
62.69,1.289,4.199,12.24,1465.8,73.2,403.3,48.8,425.4,0
77.07,5.114,4.065,14.01,1465.1,69.0,398.9,63.3,155.8,1
60.14,1.697,4.947,10.55,1494.7,42.1,400.3,48.7,381.0,0
67.15,1.0,4.679,12.88,1474.7,38.7,399.8,48.5,315.4,0
69.62,2.384,4.242,11.95,1470.9,48.7,396.4,46.0,442.9,0
77.09,3.999,3.853,15.18,1446.2,45.1,397.7,59.5,62.1,1
70.22,5.993,4.333,14.96,1450.8,45.2,399.6,60.7,136.6,1
64.83,2.01,4.427,,1441.8,56.8,400.8,48.9,428.3,0
64.65,2.866,4.035,13.83,1501.7,51.1,399.1,55.2,403.9,0
65.13,2.846,,10.84,1527.8,51.1,399.9,50.3,382.2,0
68.71,2.526,4.832,,1496.8,59.4,399.5,48.5,371.1,0
64.33,1.871,4.516,13.94,1472.5,56.3,397.5,45.4,325.7,0
78.91,4.466,4.142,16.33,1433.0,44.2,398.2,60.1,111.1,1
64.06,2.204,4.578,9.91,1467.8,60.5,396.3,39.2,420.1,0
74.88,4.983,3.936,14.71,1397.5,60.4,395.8,69.0,224.8,1
80.43,6.84,4.177,13.88,1454.2,71.1,398.5,67.6,85.4,1
76.2,5.839,4.517,15.26,1482.2,49.7,401.6,54.4,144.9,1
63.42,2.527,4.716,10.38,1494.0,44.2,399.5,46.4,441.3,0
64.14,2.375,4.477,9.39,1455.2,52.4,400.4,46.5,339.8,0
67.91,4.888,3.752,13.61,1466.8,54.3,396.8,48.8,479.3,0
78.38,5.571,4.161,13.19,1462.2,59.8,395.3,58.5,86.1,1
66.73,3.241,4.708,13.58,1485.8,50.0,395.8,46.6,429.0,0
69.3,2.481,4.657,12.34,1482.1,40.2,400.9,45.5,388.7,0
70.33,1.71,3.922,10.22,1474.4,52.3,398.9,48.9,410.7,0
60.58,3.489,4.539,12.33,1511.8,50.7,399.0,48.9,414.8,0
66.19,2.382,4.866,12.12,1490.1,39.5,396.2,46.9,479.7,0
98.37,9.578,2.849,21.99,1385.9,62.2,389.3,84.4,21.9,2
66.45,3.513,4.323,13.64,1436.4,84.3,400.2,44.4,386.2,0
61.64,1.845,4.243,12.31,1457.6,70.0,396.5,49.9,372.4,0
90.28,4.807,3.849,14.81,1439.4,48.1,399.0,61.3,154.9,1
69.58,1.257,,11.8,1464.7,57.3,398.2,49.7,404.3,0
58.95,3.056,4.172,14.55,1489.5,68.9,397.2,48.2,409.0,0
92.85,9.151,2.577,19.36,1390.6,69.2,391.5,82.6,63.5,2
72.71,1.495,4.653,13.29,1488.6,44.7,397.9,44.0,363.0,0
64.26,1.765,4.128,10.68,1484.2,67.6,399.1,53.5,376.1,0
72.73,6.011,4.272,17.53,1450.9,49.4,397.7,64.3,167.9,1
71.05,5.899,3.962,15.1,1448.2,45.5,399.1,64.2,176.8,1
58.15,3.133,3.892,14.03,1490.1,51.4,403.4,40.6,426.1,0
94.13,8.893,3.265,19.54,1407.2,70.6,391.1,75.1,51.4,2
75.14,5.37,4.2,17.97,1466.2,62.7,398.0,67.6,122.6,1
67.58,3.021,4.822,10.16,1493.8,53.1,397.6,50.1,420.7,0
61.63,2.151,,14.78,1485.8,55.1,398.8,53.9,448.3,0
61.99,4.441,4.913,12.56,1472.7,55.8,402.1,48.2,456.3,0
98.29,8.327,3.36,21.21,1392.9,54.5,390.9,73.4,31.8,2
66.91,2.574,4.15,9.94,1477.2,33.8,398.3,46.4,388.5,0
65.61,2.016,4.266,,1454.6,46.9,398.2,42.3,287.9,0
88.31,5.277,4.345,14.29,1447.4,68.0,397.0,63.1,199.7,1
97.11,9.216,3.189,21.0,1406.9,55.5,391.6,80.3,110.5,2
66.66,3.0,5.473,15.58,1489.0,65.5,398.6,50.6,410.4,0
88.87,9.514,3.097,21.78,1433.7,69.6,388.9,71.8,31.3,2
69.64,2.717,,12.91,1492.9,48.2,396.5,49.2,364.3,0
59.78,1.275,3.967,10.65,1476.4,49.5,396.4,50.5,434.8,0
95.74,9.912,3.62,,1374.6,59.9,392.5,82.1,50.4,2
86.55,6.183,3.696,16.55,1452.0,47.7,399.2,55.1,166.2,1
64.77,3.401,4.444,11.58,1472.3,38.3,399.3,51.9,413.3,0
91.61,8.15,,22.91,1375.1,72.3,389.2,72.4,54.6,2
70.43,2.928,5.028,11.7,1464.8,54.3,397.9,45.4,408.8,0
61.0,1.548,4.5,13.97,1499.4,59.2,398.3,49.7,384.8,0
60.78,3.156,4.505,12.37,1473.6,59.1,399.9,46.2,387.9,0
68.1,2.015,4.208,11.58,1488.2,50.0,396.9,46.3,361.1,0
79.43,6.326,3.848,15.98,1453.8,51.4,400.2,64.4,161.1,1
74.41,6.206,4.6,16.7,1446.5,53.2,395.4,57.9,198.5,1
64.55,2.944,4.867,11.09,1466.9,68.7,400.4,45.8,426.7,0
73.06,1.596,4.583,11.0,1469.6,75.6,397.2,48.7,394.9,0
78.05,6.033,3.992,14.89,1436.9,69.0,395.8,64.5,144.8,1
69.98,2.006,4.28,11.33,1484.0,72.1,401.5,39.7,482.2,0
76.04,5.708,3.757,16.22,1437.2,61.7,398.7,60.7,108.9,1
65.2,2.878,4.297,11.06,1496.5,70.8,400.3,46.2,331.8,0
65.92,3.655,4.339,11.31,1521.7,61.6,400.0,45.8,415.7,0
86.42,4.944,4.283,15.81,1460.0,67.5,399.5,60.2,158.7,1
62.58,0.897,3.65,13.04,1520.8,56.9,398.3,45.0,370.6,0
78.85,4.972,4.639,15.02,1465.4,57.5,400.4,60.3,150.8,1
60.13,3.39,4.093,13.79,1461.4,61.8,398.9,46.3,405.6,0
94.35,10.257,2.904,21.78,1368.5,57.7,389.8,76.1,37.2,2
69.93,1.376,,11.95,1511.4,45.6,404.1,47.1,398.8,0
79.0,5.798,4.737,15.81,1488.0,55.1,400.4,61.7,208.7,1
74.13,2.708,4.282,10.84,1468.9,55.7,400.8,48.9,406.3,0
69.26,2.116,4.31,12.64,1487.3,59.4,400.8,45.3,481.6,0
82.42,6.397,3.485,14.88,1471.4,53.8,396.9,64.2,90.6,1
58.4,2.272,4.641,13.17,1453.9,63.2,401.2,42.5,463.5,0
97.37,9.91,,20.3,1370.4,61.3,390.1,76.9,71.3,2
96.17,9.489,3.11,20.4,1391.9,56.8,389.6,74.7,29.2,2
79.84,6.058,4.086,14.67,1442.2,57.3,399.9,55.0,145.3,1
63.59,3.356,4.523,12.04,1479.0,56.7,399.4,56.8,404.1,0
76.45,4.233,3.567,16.27,1418.1,59.4,397.7,58.8,69.4,1
61.81,1.545,4.169,13.94,1490.6,61.1,400.1,49.4,333.4,0
62.77,2.635,4.484,10.99,1478.7,49.0,401.5,51.9,435.3,0
95.6,10.191,,20.61,1381.2,45.9,389.7,78.2,72.9,2
62.24,3.275,4.312,9.97,1490.7,42.9,400.2,46.2,452.9,0
50.76,2.39,4.4,12.42,1500.9,62.2,401.2,48.6,401.5,0
60.39,2.069,4.746,10.42,1536.5,56.2,399.4,52.8,336.0,0
65.63,2.767,4.762,11.71,1514.2,60.2,401.2,47.9,390.8,0
89.64,10.19,3.521,20.08,1378.9,58.8,390.3,83.8,65.1,2
73.64,0.1,3.939,10.98,1525.5,51.8,402.3,35.4,401.9,0
61.77,1.992,5.115,14.45,1475.7,64.1,401.0,58.3,407.6,0
63.52,4.778,4.357,14.33,1460.0,60.3,397.7,58.3,190.9,1
60.8,2.465,4.625,13.42,1478.2,56.4,402.1,44.5,404.6,0
66.22,3.369,4.008,11.48,1499.7,67.4,399.1,54.0,419.1,0
69.76,1.893,5.113,13.92,1473.4,59.9,404.6,49.2,380.2,0
73.75,2.499,4.635,,1481.2,48.4,402.3,49.4,435.5,0
63.7,2.095,5.011,12.78,1514.4,65.9,402.9,48.8,409.5,0
75.09,7.081,3.599,14.62,1465.0,71.3,396.3,60.3,149.5,1
64.02,3.662,4.543,11.42,1465.7,54.6,401.7,45.9,376.9,0
67.1,3.663,3.868,13.13,1479.6,45.9,400.4,41.8,463.6,0
64.75,2.397,4.589,11.08,1463.9,58.6,398.7,47.7,371.7,0
84.48,5.871,4.458,16.58,1440.2,50.8,399.8,59.7,126.3,1
63.95,3.659,4.193,12.97,1494.8,66.0,403.9,47.2,359.0,0
96.51,8.748,3.64,20.91,1399.4,52.8,390.0,82.7,59.8,2
63.62,2.233,4.83,11.28,1444.5,50.3,396.9,45.9,481.1,0
66.54,2.952,4.64,9.33,1466.3,48.7,400.1,44.9,434.5,0
67.14,1.872,4.166,14.42,1445.1,73.0,398.9,40.1,388.3,0
71.19,1.873,4.384,12.72,1486.4,32.5,402.5,44.9,384.7,0
85.5,5.388,4.17,14.92,1456.7,44.6,399.1,62.4,107.4,1
67.22,2.333,4.434,12.58,1482.5,48.4,401.2,45.7,396.2,0
81.66,6.331,3.841,17.35,1447.7,58.7,399.4,61.2,198.7,1
64.64,2.761,3.955,10.35,1443.6,62.5,399.0,43.8,427.9,0
84.88,5.541,3.462,17.96,1460.7,57.5,398.8,58.1,142.9,1
64.72,2.659,4.931,10.67,1520.5,51.7,404.9,49.1,389.9,0
69.1,2.937,4.542,13.04,1463.6,52.7,402.0,48.7,387.9,0
80.76,5.343,3.934,16.7,1417.5,51.7,400.3,64.1,79.0,1
64.44,1.077,4.237,12.44,1501.8,55.7,401.7,51.3,390.1,0
65.63,2.695,,12.47,1471.9,61.8,396.6,46.1,384.4,0
62.58,3.348,4.518,10.79,1494.3,40.7,403.2,46.7,398.8,0
70.24,1.085,4.438,10.97,1487.7,63.2,398.4,57.0,399.7,0
59.92,2.458,5.076,11.99,1512.9,52.3,399.9,41.5,338.7,0
66.91,2.692,4.387,10.0,1474.4,65.0,401.5,48.1,402.1,0
71.07,1.63,4.225,8.97,1471.8,51.0,402.9,43.5,373.9,0
66.54,1.767,4.357,11.26,1471.2,52.3,399.1,41.0,393.1,0
76.26,2.246,4.533,,1538.4,45.8,398.4,43.9,423.0,0
65.14,2.985,4.66,11.05,1477.4,46.9,402.0,42.3,433.2,0
70.4,1.811,4.216,13.89,1478.0,34.5,401.7,48.8,372.8,0
78.93,5.003,4.301,16.32,1442.5,39.3,403.1,59.2,129.7,1
82.82,5.041,4.233,14.92,1451.0,46.5,399.0,60.5,128.7,1
65.08,3.692,4.641,8.05,1482.5,52.8,401.0,47.9,331.8,0
81.69,4.653,3.609,15.54,1434.7,61.3,398.3,62.1,154.1,1
72.4,4.595,3.785,14.67,1447.8,50.0,393.9,59.2,143.9,1
96.84,8.606,2.84,23.39,1392.7,50.6,392.7,79.7,11.5,2
63.74,3.52,4.375,10.74,1480.8,57.0,399.9,44.9,420.0,0
63.76,2.395,4.672,13.76,1478.9,41.5,398.5,48.6,404.6,0
81.8,5.826,4.16,13.93,1405.6,62.9,394.1,54.1,141.1,1
61.59,3.067,4.436,13.13,1491.3,60.2,402.1,51.6,327.5,0
97.75,8.857,3.468,20.38,1371.6,60.8,391.4,80.7,26.4,2
69.35,2.533,4.41,14.34,1479.2,59.8,402.6,41.0,442.5,0
63.9,1.987,4.161,14.89,1483.9,59.3,400.0,49.3,461.0,0
65.68,1.98,4.477,11.2,1483.0,48.4,399.3,46.6,398.7,0
62.24,2.731,4.854,10.91,1482.6,52.0,398.8,36.6,335.9,0
60.53,3.216,4.335,13.22,1471.6,52.7,397.4,40.3,430.7,0
88.44,9.537,3.325,22.51,1384.8,68.2,395.1,81.1,0.0,2
81.24,6.077,3.715,16.27,1482.7,64.2,401.5,58.7,151.3,1
63.49,2.54,,12.75,1464.0,50.6,396.5,42.6,391.5,0
96.49,8.613,2.904,22.72,1386.6,71.9,392.3,72.0,70.6,2
74.65,5.212,4.016,11.94,1501.4,61.6,398.9,55.5,67.4,1
72.65,5.204,3.756,16.87,1470.8,66.3,400.2,57.2,144.1,1
80.57,5.998,4.38,15.69,1447.9,46.7,398.9,60.6,198.1,1
65.71,1.631,4.907,11.85,1495.7,55.8,398.6,49.5,325.3,0
62.59,2.001,4.735,10.36,1488.4,54.4,400.6,50.5,434.3,0
67.46,1.678,4.171,13.24,1490.6,49.5,400.9,53.9,370.3,0
59.87,3.098,4.724,12.34,1486.1,56.6,398.7,52.7,415.7,0
63.79,3.336,4.592,11.81,1438.3,43.4,399.4,50.7,367.6,0
73.12,0.736,4.825,12.73,1472.4,56.9,398.7,55.0,417.4,0
66.41,2.204,4.767,13.04,1467.7,51.7,400.6,48.6,343.2,0
79.09,5.37,4.015,14.33,1500.8,45.3,398.3,53.3,171.6,1
67.0,2.098,4.709,9.09,1495.1,62.8,396.4,48.8,457.4,0
89.89,8.807,3.21,22.2,1390.3,55.1,392.6,78.3,2.8,2
66.01,1.272,4.579,10.57,1470.0,45.7,401.1,53.5,339.1,0
57.37,2.52,4.223,13.32,1465.8,59.0,400.5,50.3,380.8,0
97.15,8.223,3.293,20.66,1436.5,57.7,387.8,78.9,13.8,2
64.59,2.4,4.63,11.73,1503.9,56.5,397.6,46.3,408.3,0
71.87,2.139,3.909,12.44,1459.2,31.2,400.3,53.1,441.9,0
63.59,2.515,4.39,12.72,1459.0,68.6,399.1,43.4,350.2,0
71.09,2.78,4.522,13.04,1483.6,55.3,399.6,48.8,358.9,0
79.9,4.296,3.739,13.94,1416.2,62.6,398.1,61.4,197.3,1
78.32,5.496,,14.36,1454.0,53.1,398.9,61.3,92.2,1
66.61,2.851,4.473,11.64,1488.7,58.0,399.9,46.9,448.8,0
59.1,2.768,4.681,10.44,1468.7,55.2,402.0,51.5,368.8,0
72.67,6.171,4.084,13.81,1419.8,81.2,396.1,60.2,138.6,1
73.17,2.518,4.458,12.46,1493.8,70.3,402.7,46.7,424.2,0
61.29,2.107,3.969,8.52,1486.2,44.0,401.6,53.7,387.9,0
78.38,5.823,4.114,15.07,1434.4,65.7,398.0,67.9,209.7,1
82.04,9.409,3.15,22.07,1407.9,58.6,393.7,81.8,49.3,2
95.98,9.917,3.104,21.15,1373.9,52.6,387.8,76.4,57.4,2
62.8,2.617,4.309,12.63,1441.7,69.4,397.1,47.3,413.2,0
65.99,1.89,4.898,9.89,1494.7,59.5,400.1,49.7,348.1,0
70.81,2.947,4.55,,1450.7,40.1,401.2,51.5,407.5,0
99.2,9.725,2.79,21.52,1369.8,67.9,395.8,75.4,3.6,2
67.48,1.698,4.137,9.7,1451.9,46.3,398.1,42.9,387.1,0
68.05,3.108,4.187,10.24,1460.4,76.0,399.5,58.4,353.4,0
77.98,6.263,3.604,15.86,1461.3,73.9,395.5,62.0,141.0,1
65.41,1.836,4.138,13.81,1506.5,43.1,400.2,51.5,478.1,0
90.95,10.607,2.88,22.25,1390.3,43.1,389.1,79.7,16.5,2
70.15,2.093,4.483,13.29,1479.7,51.9,400.3,40.1,481.4,0
70.54,2.488,4.615,13.27,1492.7,51.5,399.8,46.9,389.5,0
58.78,1.5,4.855,11.62,1482.1,64.8,404.7,50.5,342.0,0
67.36,2.3,4.431,12.89,1499.0,49.8,399.4,44.5,405.3,0
61.94,3.543,4.623,11.44,1478.5,49.3,400.0,46.2,418.9,0
58.53,0.549,5.026,12.28,1480.6,46.6,399.2,52.7,364.1,0
72.74,3.135,4.169,11.99,1466.3,51.7,403.9,42.3,383.0,0
86.48,4.903,3.951,14.04,1446.7,58.3,397.6,67.3,161.4,1
92.35,9.012,3.471,21.02,1370.0,73.9,390.8,71.1,14.8,2
86.08,4.693,4.081,16.73,1423.6,67.4,396.3,59.6,175.0,1
73.06,7.119,4.393,18.22,1447.5,73.9,397.2,64.0,108.9,1
64.3,3.4,4.821,13.33,1481.6,58.5,399.4,40.5,455.1,0
66.61,1.298,4.841,10.81,1485.6,49.1,402.2,52.1,357.5,0
60.0,3.365,4.328,12.77,1472.0,65.0,402.1,57.4,405.0,0
98.17,10.81,2.925,22.0,1391.2,38.8,390.7,72.2,53.5,2
70.4,1.334,4.394,11.17,1473.9,60.9,399.2,48.2,409.0,0
77.03,5.938,3.837,17.09,1464.6,66.8,402.8,63.3,109.2,1
58.88,2.583,4.732,9.69,1479.7,60.0,398.7,42.6,369.5,0
66.12,2.333,4.3,12.36,1488.6,58.8,398.5,49.3,351.0,0
81.26,5.5,4.448,16.55,1408.5,58.0,398.0,58.5,201.1,1
58.86,3.739,4.194,12.51,1494.6,49.3,398.8,50.4,442.0,0
100.94,9.212,3.435,18.57,1419.0,72.1,390.0,79.0,42.6,2
74.33,5.725,3.855,14.65,1423.0,60.5,396.9,52.0,106.7,1
52.5,1.611,4.318,12.02,1485.5,56.4,400.5,47.4,378.3,0
97.78,10.43,3.079,20.91,1379.5,60.0,392.2,82.0,0.0,2
89.45,5.697,4.237,16.22,1408.5,66.7,397.9,64.5,145.9,1
70.46,2.778,4.435,11.8,1505.8,51.4,396.6,42.1,459.8,0
101.03,9.649,3.114,21.64,1403.4,61.4,391.9,72.6,0.0,2
67.02,3.043,4.164,11.65,1461.0,51.8,401.1,43.5,384.1,0
63.71,3.146,3.754,13.29,1455.3,38.7,397.3,46.3,399.5,0
74.22,5.7,3.792,16.56,1461.1,69.3,398.7,61.6,79.3,1
69.7,6.572,4.154,17.45,1446.6,58.9,399.4,65.5,121.6,1
75.74,6.399,4.479,16.26,1477.6,74.5,398.6,57.0,162.3,1
61.97,2.461,4.808,12.3,1513.7,53.7,398.4,53.0,359.8,0
70.42,6.149,4.245,14.32,1433.5,70.3,401.7,61.6,155.4,1
69.42,2.704,4.858,12.33,1494.9,69.7,401.7,48.8,455.6,0
60.33,1.134,4.553,12.05,1473.9,32.0,399.1,49.5,453.4,0
70.82,3.297,4.309,14.73,1483.9,44.9,399.9,44.1,430.1,0
67.12,1.509,4.666,11.87,1488.0,64.6,400.1,51.9,426.6,0
64.77,3.272,4.119,12.86,1456.4,60.8,402.4,51.8,436.9,0
67.79,6.103,4.281,14.79,1463.7,61.1,399.9,60.9,185.7,1
101.04,8.976,3.186,22.62,1377.0,72.8,396.2,82.8,59.1,2
68.51,1.326,4.42,12.01,1466.8,64.6,402.7,49.4,431.9,0
76.05,3.306,4.488,12.01,1499.2,48.7,401.3,50.9,400.8,0
68.18,1.846,4.036,11.06,1489.8,39.1,402.7,54.0,439.2,0
76.88,6.485,4.357,13.72,1447.1,74.8,401.1,59.2,98.9,1
62.32,3.309,4.649,12.32,1435.8,46.9,397.4,60.6,400.1,0
86.92,10.371,2.95,19.23,1376.6,54.9,387.7,78.1,0.0,2
64.24,1.958,4.509,9.73,1493.2,56.9,402.7,53.5,404.3,0
91.75,10.494,3.148,21.04,1409.4,55.0,393.4,75.2,18.0,2
64.25,2.639,4.47,12.57,1500.7,54.8,400.1,42.2,410.0,0
66.17,2.349,4.569,12.74,1496.4,38.1,396.2,61.5,453.2,0
64.55,0.82,4.453,11.94,1471.5,59.6,401.3,50.3,397.4,0
57.99,2.25,4.77,10.71,1459.5,54.4,397.5,43.7,409.9,0
97.3,8.598,2.811,19.67,1377.0,80.4,389.7,75.4,18.0,2
62.49,1.298,4.942,12.58,1490.9,59.4,401.0,51.4,398.0,0
80.65,6.123,3.829,15.34,1426.0,57.9,397.8,55.7,133.8,1
59.06,2.213,4.185,8.41,1515.7,67.0,402.2,41.4,411.5,0
67.69,3.489,,13.14,1485.4,53.4,400.8,47.2,424.4,0
65.61,3.076,,10.52,1483.0,77.9,401.6,45.8,380.4,0
85.46,5.762,4.066,14.69,1449.4,64.9,396.3,60.6,127.0,1
74.19,2.112,3.805,12.03,1478.9,72.8,400.3,47.1,415.5,0
65.75,3.093,4.617,14.44,1477.3,52.9,402.1,44.4,400.6,0
62.27,2.205,4.524,12.34,1447.4,76.5,400.6,47.8,426.4,0
62.32,2.794,4.804,12.12,1487.9,35.4,402.6,52.4,418.2,0
69.67,1.81,4.977,9.63,1436.0,67.7,397.4,49.3,430.0,0
102.36,10.094,2.695,22.49,1398.6,59.3,392.9,77.3,0.0,2
77.87,5.243,3.745,15.57,1444.6,56.1,397.1,57.4,226.9,1
97.9,8.118,,19.76,1392.3,72.2,393.3,79.0,86.6,2
69.2,5.464,4.299,14.63,1458.6,43.9,398.9,57.1,197.8,1
69.82,1.007,4.734,12.41,1492.0,63.3,400.3,47.0,329.3,0
107.9,9.914,3.773,21.76,1384.9,36.1,393.5,75.7,24.7,2
100.25,9.727,3.525,20.27,1375.3,72.4,394.7,76.7,42.2,2
86.07,6.038,3.581,17.11,1457.9,76.7,399.2,62.1,159.8,1
65.44,1.419,4.65,12.99,1475.5,42.8,398.4,45.6,383.9,0
76.76,6.451,4.122,12.54,1447.7,48.0,399.9,67.6,143.8,1
68.16,2.708,,11.71,1477.2,48.7,401.8,50.2,327.4,0
72.83,3.381,4.973,10.23,1454.2,66.8,399.9,49.3,359.8,0
63.39,1.345,3.91,14.52,1481.7,67.2,398.4,45.9,394.3,0
63.39,3.149,4.433,12.81,1475.9,50.6,396.2,45.5,384.4,0
73.98,5.503,4.137,16.04,1471.0,69.1,398.0,69.6,179.4,1
85.82,9.827,3.101,20.31,1365.7,50.6,394.2,78.6,47.1,2
68.19,2.485,4.647,13.44,1474.8,47.4,399.0,49.7,427.3,0
87.93,10.154,3.782,21.74,1373.6,62.4,390.7,77.2,56.9,2
77.79,1.948,4.436,10.56,1500.4,45.9,398.5,44.1,398.2,0
72.89,2.901,4.727,10.73,1483.2,59.1,402.3,50.2,411.3,0
63.0,1.887,4.481,12.83,1480.7,51.7,399.4,42.7,411.0,0
64.81,2.74,4.728,14.13,1465.9,55.9,403.4,51.4,386.1,0
60.91,2.235,4.514,9.62,1483.3,59.4,401.5,55.6,407.0,0
63.75,1.581,5.114,13.31,1502.4,56.8,402.4,47.8,454.2,0
65.89,1.375,4.762,11.77,1485.6,42.7,402.4,46.5,370.6,0
65.39,3.036,4.813,12.89,1497.8,43.6,405.4,52.6,349.5,0
57.91,2.19,4.959,12.63,1482.7,52.7,402.5,49.7,393.5,0
77.28,5.19,3.923,16.85,1454.4,64.2,398.8,60.0,193.0,1
78.97,5.909,4.233,15.57,1447.4,50.5,397.9,63.3,157.7,1
101.95,9.384,3.826,21.74,1373.9,48.6,392.4,79.0,73.1,2
67.1,2.163,4.286,14.14,1465.2,41.5,401.3,48.9,356.2,0
60.05,0.731,4.266,11.28,1500.8,54.4,400.1,48.2,393.2,0
58.74,1.775,4.64,15.28,1495.8,47.8,397.1,46.9,362.5,0
65.23,2.858,4.725,11.52,1498.6,51.1,400.6,47.7,369.4,0
61.23,1.832,4.199,11.74,1491.0,58.4,402.7,46.1,444.2,0
78.63,6.943,4.156,15.87,1443.4,52.5,398.3,45.7,216.6,1
63.93,1.286,4.977,13.13,1485.1,50.6,404.7,48.6,377.0,0
66.62,3.085,,10.95,1481.0,54.5,403.1,51.3,369.0,0
64.12,1.615,4.309,9.91,1541.5,48.6,400.8,54.1,442.3,0
62.82,2.599,4.468,12.17,1441.9,63.6,397.5,44.8,375.5,0
71.65,2.728,4.317,14.84,1459.4,76.1,400.5,54.5,394.4,0
62.25,1.423,5.02,10.47,1455.7,58.4,400.3,45.8,330.2,0
63.39,0.93,4.522,10.56,1480.4,62.8,398.5,51.6,459.4,0
92.35,9.542,3.038,18.85,1399.6,55.3,390.0,76.7,56.8,2
67.39,3.489,5.011,10.94,1475.6,39.9,398.1,50.7,379.2,0
66.1,4.285,,12.33,1506.5,54.1,402.7,50.3,367.2,0
63.26,2.5,4.86,12.95,1460.1,70.5,400.7,45.2,395.7,0
65.24,1.735,4.214,12.17,1527.6,43.4,396.5,46.4,355.2,0
